grid,year,round,alt,constructorRef_ferrari,constructorRef_mclaren,constructorRef_williams,constructorRef_red_bull
19,2011,16,0,0.0,0.0,0.0,0.0
22,1982,11,432,0.0,0.0,0.0,0.0
17,1983,10,103,0.0,0.0,0.0,0.0
12,1995,14,578,0.0,0.0,0.0,0.0
9,1977,5,609,0.0,1.0,0.0,0.0
20,2005,14,130,0.0,0.0,0.0,0.0
22,1977,17,583,0.0,0.0,0.0,0.0
15,1955,6,20,0.0,0.0,0.0,0.0
6,1986,16,58,0.0,0.0,0.0,0.0
11,2001,14,401,0.0,0.0,0.0,0.0
18,1971,10,332,1.0,0.0,0.0,0.0
7,1976,7,153,0.0,0.0,0.0,0.0
24,1994,11,401,0.0,0.0,0.0,0.0
20,1980,6,7,0.0,0.0,0.0,0.0
0,1979,12,6,0.0,0.0,0.0,0.0
6,1964,5,145,0.0,0.0,0.0,0.0
4,1996,9,228,0.0,0.0,0.0,0.0
15,1959,5,20,0.0,0.0,0.0,0.0
13,2008,11,264,0.0,0.0,0.0,1.0
8,2009,15,45,0.0,0.0,0.0,0.0
3,1981,7,609,0.0,0.0,1.0,0.0
1,1950,1,153,0.0,0.0,0.0,0.0
19,2001,4,37,0.0,0.0,0.0,0.0
9,2007,14,401,0.0,0.0,0.0,0.0
12,1970,6,790,0.0,0.0,0.0,0.0
24,1987,15,45,0.0,0.0,0.0,0.0
14,2009,5,109,0.0,1.0,0.0,0.0
20,1993,14,130,0.0,0.0,0.0,0.0
21,2000,14,162,0.0,0.0,0.0,0.0
14,1962,8,485,0.0,0.0,0.0,0.0
2,2008,1,10,0.0,0.0,0.0,0.0
16,1982,8,13,0.0,0.0,0.0,0.0
1,1974,9,484,1.0,0.0,0.0,0.0
13,2002,2,18,0.0,0.0,0.0,0.0
21,2007,9,153,0.0,0.0,0.0,0.0
10,1963,4,88,0.0,0.0,0.0,0.0
9,1994,6,13,0.0,0.0,0.0,0.0
10,1995,5,7,0.0,1.0,0.0,0.0
13,1979,15,485,0.0,1.0,0.0,0.0
12,1961,5,20,0.0,0.0,0.0,0.0
